upioffers,UPI Offers,False,2020-03-10 19:07:21.604696
malamaalholi,Malamaal holi,False,2020-03-10 19:07:21.611692
cashback,Cashback,False,2020-03-10 19:07:21.628657
rechargeandbills,Recharge and Bills,False,2020-03-10 19:07:21.631658
superchoice,SuperChoice,False,2020-03-10 19:07:21.633655
shopping,Shopping,False,2020-03-10 19:07:21.646647
travel,Travel,False,2020-03-10 19:07:21.650311
grocerystores,Grocery Stores,False,2020-03-10 19:07:21.662296
food,Food,False,2020-03-10 19:07:21.666291
restaurants,Restaurants,False,2020-03-10 19:07:21.669293
grocery,Grocery,False,2020-03-10 19:07:21.699270
bustickets,Bus Tickets,False,2020-03-10 19:07:21.703274
gaming,Gaming,False,2020-03-10 19:07:21.714264
entertainment,Entertainment,False,2020-03-10 19:07:21.718259
shoppingstores,Shopping Stores,False,2020-03-10 19:07:21.733250
health,Health ,False,2020-03-10 19:07:21.736249
storesnearyou,Stores Near You,False,2020-03-10 19:07:21.750239
healthstores,Health Stores,False,2020-03-10 19:07:21.753239
services,Services,False,2020-03-10 19:07:21.765232
newuseroffers,New User Offers,False,2020-03-10 19:07:21.768229
education,Education,False,2020-03-10 19:07:21.782222
loyaltyredemption,Loyalty Redemption,False,2020-03-10 19:07:21.785218
boxoffice,Box Office,False,2020-03-10 19:07:21.798217
